"ID","REMOTE_ID","AMBIENT_TEMPERATURE","AIR_PRESSURE","HUMIDITY","CREATED","serverDate","dateUTC","onlyTime","onlyDate"
3813,12,20.54,1009.85,44.67,"2021-06-25 12:25:32","2021-06-25 16:45:26",2021-06-25 16:45:26,60326,2021-06-25
3814,12,20.52,1009.96,44.73,"2021-06-25 12:25:32","2021-06-25 16:45:31",2021-06-25 16:45:31,60331,2021-06-25
3815,12,20.49,1009.85,44.72,"2021-06-25 12:25:32","2021-06-25 16:45:36",2021-06-25 16:45:36,60336,2021-06-25
3816,12,20.48,1009.91,44.78,"2021-06-25 12:25:32","2021-06-25 16:45:41",2021-06-25 16:45:41,60341,2021-06-25
3817,12,20.49,1009.9,44.92,"2021-06-25 12:25:32","2021-06-25 16:45:47",2021-06-25 16:45:47,60347,2021-06-25
3818,12,20.48,1009.9,45.02,"2021-06-25 12:25:32","2021-06-25 16:45:52",2021-06-25 16:45:52,60352,2021-06-25
3819,12,20.46,1009.92,45.08,"2021-06-25 12:25:32","2021-06-25 16:45:57",2021-06-25 16:45:57,60357,2021-06-25
3820,12,20.46,1009.92,44.99,"2021-06-25 12:25:32","2021-06-25 16:46:02",2021-06-25 16:46:02,60362,2021-06-25
3821,12,20.46,1009.89,44.95,"2021-06-25 12:25:32","2021-06-25 16:46:07",2021-06-25 16:46:07,60367,2021-06-25
3822,12,20.45,1009.88,44.95,"2021-06-25 12:25:32","2021-06-25 16:46:13",2021-06-25 16:46:13,60373,2021-06-25
3823,12,20.46,1009.92,44.85,"2021-06-25 12:25:32","2021-06-25 16:46:18",2021-06-25 16:46:18,60378,2021-06-25
3824,12,20.46,1009.85,44.91,"2021-06-25 12:25:32","2021-06-25 16:46:23",2021-06-25 16:46:23,60383,2021-06-25
3825,12,20.44,1009.94,44.87,"2021-06-25 12:25:32","2021-06-25 16:46:28",2021-06-25 16:46:28,60388,2021-06-25
3826,12,20.45,1009.93,44.86,"2021-06-25 12:25:32","2021-06-25 16:46:33",2021-06-25 16:46:33,60393,2021-06-25
3827,12,20.44,1009.91,44.66,"2021-06-25 12:25:32","2021-06-25 16:46:39",2021-06-25 16:46:39,60399,2021-06-25
3828,12,20.44,1009.94,44.64,"2021-06-25 12:25:32","2021-06-25 16:46:44",2021-06-25 16:46:44,60404,2021-06-25
